Type,Date, Time, Image_ID, xx_coord, xy_coord, yx_coord, yy_coord, ESD_in_um
ROI, 2021/03/06, 19:26:04.393, 20210306_192604.393.0.png, 1464, 0, 1532, 96, 0.001979908422099394
ROI, 2021/03/06, 19:26:05.341, 20210306_192605.341.0.png, 2364, 1692, 2448, 1776, 0.001904389989190238
ROI, 2021/03/06, 19:26:08.835, 20210306_192608.835.0.png, 1980, 1348, 2112, 1540, 0.0010048415759220674
ROI, 2021/03/06, 19:26:10.342, 20210306_192610.342.0.png, 1428, 1340, 1512, 1420, 0.0019514190458418703
ROI, 2021/03/06, 19:26:10.966, 20210306_192610.966.0.png, 2580, 1764, 2708, 1892, 0.0012497559304060937
ROI, 2021/03/06, 19:26:12.165, 20210306_192612.165.0.png, 1440, 164, 1524, 244, 0.0019514190458418703
ROI, 2021/03/06, 19:26:12.919, 20210306_192612.919.0.png, 1440, 164, 1524, 244, 0.0019514190458418703
ROI, 2021/03/06, 19:26:13.289, 20210306_192613.289.0.png, 564, 68, 648, 180, 0.0016492501093515186
ROI, 2021/03/06, 19:26:14.414, 20210306_192614.414.0.png, 240, 2116, 340, 2192, 0.0018349675131724846
ROI, 2021/03/06, 19:26:14.739, 20210306_192614.739.0.png, 0, 604, 116, 700, 0.0015159000412671869
ROI, 2021/03/06, 19:26:18.750, 20210306_192618.750.0.png, 592, 440, 708, 508, 0.0018011576415107333
ROI, 2021/03/06, 19:26:19.548, 20210306_192619.548.0.png, 436, 0, 548, 76, 0.001733881322763226
ROI, 2021/03/06, 19:26:20.124, 20210306_192620.124.0.png, 1352, 820, 1448, 904, 0.0017813937175880001
ROI, 2021/03/06, 19:26:20.354, 20210306_192620.354.0.png, 840, 1692, 952, 1804, 0.0014282924918926786
ROI, 2021/03/06, 19:26:21.050, 20210306_192621.050.0.png, 2256, 268, 2404, 384, 0.0012208865901547942
ROI, 2021/03/06, 19:26:23.261, 20210306_192623.261.0.png, 2208, 2004, 2324, 2104, 0.0014852726408674283
ROI, 2021/03/06, 19:26:24.060, 20210306_192624.060.0.png, 576, 452, 724, 564, 0.0012424968800560745
ROI, 2021/03/06, 19:26:24.403, 20210306_192624.403.0.png, 2584, 1064, 2684, 1164, 0.0015996875909198
ROI, 2021/03/06, 19:26:25.500, 20210306_192625.500.0.png, 1456, 752, 1540, 900, 0.0014347118163352895
ROI, 2021/03/06, 19:26:25.711, 20210306_192625.711.0.png, 788, 1344, 888, 1456, 0.0015115626932035062
ROI, 2021/03/06, 19:26:26.537, 20210306_192626.537.0.png, 1044, 1656, 1112, 1788, 0.0016884715756403884
ROI, 2021/03/06, 19:26:27.440, 20210306_192627.440.0.png, 1316, 436, 1432, 536, 0.0014852726408674283
ROI, 2021/03/06, 19:26:31.354, 20210306_192631.354.0.png, 2392, 1552, 2536, 1636, 0.0014545018796967334
ROI, 2021/03/06, 19:26:31.592, 20210306_192631.592.0.png, 2344, 628, 2572, 856, 0.0007016173644385088
ROI, 2021/03/06, 19:26:31.720, 20210306_192631.720.0.png, 2132, 1896, 2228, 2060, 0.0012749044451835702
ROI, 2021/03/06, 19:26:32.311, 20210306_192632.311.0.png, 2476, 152, 2556, 220, 0.002168881009156596
ROI, 2021/03/06, 19:26:32.431, 20210306_192632.431.0.png, 728, 616, 844, 760, 0.001237727200722857
ROI, 2021/03/06, 19:26:33.765, 20210306_192633.765.0.png, 1648, 1188, 1732, 1272, 0.001904389989190238
ROI, 2021/03/06, 19:26:35.402, 20210306_192635.402.0.png, 1452, 1296, 1548, 1392, 0.001666341240541458
ROI, 2021/03/06, 19:26:35.526, 20210306_192635.526.0.png, 1084, 0, 1164, 72, 0.002107773471672607
